radical	strokeCount	meaningReading	frequency	joyoKanjiFreq	examples	group
无 (旡)	4	{{nihongo|have not|むにょう|munyō}}	12		无 旡 既 旣 	
日	4	{{nihongo|sun, day|にち|nichi}}	453	51	日白百明的映時晩	Top 50%
曰	4	{{nihongo|say|いわく|iwaku}}	37		書 最 晉 曷 曹 曾	
月 (⺝)	4	{{nihongo|moon, month; body, flesh|つき|tsuki}}	69	47	有 服 青 朝	Top 50% (肉)
木	4	{{nihongo|tree|き|ki}}	1,369	86	木 杢 板 相 根 森 楽 機 末 本 杉 林	Top 25%
欠	4	{{nihongo|yawn, lack|あくび|akubi}}	235		欣 欽 欧 欲 歌	
止	4	{{nihongo|stop|とめる|tomeru}}	99		正 歩 此 步 武 歪 歲	
歹 (歺)	4	{{nihongo|death, decay|がつへん|gatsuhen|歹偏}}	231		死 列 殕	
殳	4	{{nihongo|weapon, lance|ほこつくり|hokotsukuri}}	93		役 投 殴 殷	
毋 ([[母]],⺟)	4	{{nihongo|do not; mother|なかれ; はは|nakare; haha}}	16		毋 母 毎 姆 梅	
比	4	{{nihongo|compare, compete|くらべる|kuraberu}}	21		皆 批 毕 毖 毘 毚	
毛	4	{{nihongo|fur, hair|け|ke}}	211		毟 毡 毦 毫 毳 耗	
氏	4	{{nihongo|clan|うじ|uji}}	10		氏 民 紙 婚 氓	
气	4	{{nihongo|steam, breath|きがまえ|kigamae|気構}}	17		気 汽 氧	
水 (氵,氺)	4	{{nihongo|water みず|mizu}}	1,595	98	水 永 泳 決 治 海 演 漢 瀬	Top 25%
火 (灬)	4	{{nihongo|fire|ひ|hi}}	639		火 灯 毯 爆 (烈 烹 焦 然 煮)	Top 75%
爪 (爫,⺥,⺤)	4	{{nihongo|claw, nail, talon|つめ|tsume}}	36		爬 爯 爭 爰 爲	
父	4	{{nihongo|father|ちち|chichi}}	10		斧 釜	
爻	4	{{nihongo|mix, twine, cross|こう|kō}}	16		爼 爽 爾	
爿 (丬)	4	{{nihongo|split wood|しょうへん|shōhen|爿偏}}	48		牀 奘 牃	
片	4	{{nihongo|(a) slice|かた|kata}}	77		版 牌 牒	
牙	4	{{nihongo|fang|きばへん|kibahen|牙偏}}	9		芽 呀 牚	
牛 (牜, ⺧)	4	{{nihongo|cow|うし|ushi}}	233		告 牟 牧 物 特 解	
犬 (犭)	4	{{nihongo|dog|いぬ|inu}}	444		犬 犯 狂 狙 狗 献 獣	Top 75%
玄	5	{{nihongo|dark, profound|げん|gen}}	6		弦玆	
王 (玉, 玊, ⺩)	4	{{nihongo|king; ball, jade|おう; たま|ō; tama}}	473		王 玉 主 弄 皇 理 差 聖	Top 75%
瓜	5	{{nihongo|melon|うり|uri}}	55		呱 瓞	
瓦	5	{{nihongo|tile|かわら|kawara}}	174		瓧 瓮 甄	
甘	5	{{nihongo|sweet|あまい|amai}}	22		柑 甜 酣	
生	5	{{nihongo|life|うまれる|umareru}}	22		牲 笙 甥	
用 (甩)	5	{{nihongo|use; (throw)|もちいる|mochīru}}	10		佣 甬 甯	
田	5	{{nihongo|field|た|ta}}	192		田 町 思 留 略 番	Top 75%
疋 (⺪)	5	{{nihongo|bolt of cloth|ひき|hiki}}	15		疏 楚 胥 延	
疒	5	{{nihongo|sickness|やまいだれ|yamaidare|病垂}}	526		病 症 痛 癌 癖	Top 75%
癶	5	{{nihongo|footsteps|はつがしら|hatsugashira|発頭}}	15		発 登	
白	5	{{nihongo|white|しろ|shiro}}	109		皃 的 皆 皇	
皮	5	{{nihongo|skin|けがわ|kegawa|毛皮 }}	94		披 彼 波	
皿	5	{{nihongo|dish|さら|sara}}	129		盂 盉 盍 監 蘯	
目	5	{{nihongo|eye|め|me}}	647		目 見 具 省 眠 眼 観 覧	
矛	5	{{nihongo|spear, pike|むのほこ|munohoko}}	65		茅 矜	
矢	5	{{nihongo|arrow|や|ya}}	64		医 族 矩	
石	5	{{nihongo|stone|いし|ishi}}	499		石 岩 砂 破 碑 碧	Top 75%
示 (礻)	5	{{nihongo|altar, display|しめす|shimesu}}	213		示 奈 祭 禁 礼 社 神 視 福	Top 75%
禸	5	{{nihongo|track|ぐうのあし|gūnoashi}}	12		禹 禺 禽	
禾	5	{{nihongo|two-branch tree|のぎ|nogi|ノ木}}	431		利 私 季 和 科 香 秦 穀	
穴	5	{{nihongo|cave|あな|ana}}	298		空 突 窅 窘 窩 窶 竇	
立	5	{{nihongo|stand, erect|たつ|tatsu}}	101		立 音 産 翌 意 新 端 親 競	
竹 (⺮)	6	{{nihongo|bamboo|たけ|take}}	953		竺 笑 第 等 簡	Top 75%
米	6	{{nihongo|rice|こめ|kome}}	318		料 断 奥 糊 麟	
